"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0831058Z;;"Unité de formation et de recherche";"UFR de droit - antenne de Draguignan";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Toulon";"BP 182";"250 rue Jean Aicard";83305;Draguignan;83050;Cedex;"04 94 14 67 70";;Var;Nice;"Provence-Alpes-Côte d'Azur";93;6.46;43.5398287;17/02/2018;17/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/786
0350075S;;"Unité de formation et de recherche";"Institut de Gestion de Rennes - Institut des Administrations des Entreprises";"IGR IAE";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Rennes 1";"CS 70803";"11 rue Jean Macé";35708;Rennes;35238;"Cedex 07";"02 23 23 77 77";;Ille-et-Vilaine;Rennes;Bretagne;53;-1.668665;48.117873;10/02/2018;10/02/2018;"de 9h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/837
0931539T;;"Unité de formation et de recherche";"UFR de droit, sciences politiques et sociales";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paris 13";;"99 avenue Jean-Baptiste Clément";93430;Villetaneuse;93079;;"01 49 40 44 75";;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.3399;48.9553;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1049
0383443L;;"Unité de formation et de recherche";"UFR de Physique, ingénierie, terre, environnement, mécanique";"UFR PhITEM";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Grenoble Alpes";;"230 rue de la Physique";38400;Saint-Martin-d'Hères;38421;;"04 76 63 58 27";;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.7637268;45.1927518;30/01/2018;30/01/2018;"de 9h à 16 (journée du lycéen-campus de Saint-Martin d'Hères)";www.onisep.fr/http/redirection/etablissement/identifiant/1305
0693680A;;"Unité de formation et de recherche";"Faculté des sciences et technologies - Département chimie biochimie";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Claude Bernard - Lyon 1";;"43 boulevard du 11 Novembre 1918";69622;Villeurbanne;69266;Cedex;"04 72 44 80 91";;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.8670887;45.7789354;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1386
0791136F;;"Unité de formation et de recherche";"IRIAF Institut des risques industriels, assurantiels et financiers";IRIAF;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Poitiers";;"11 rue Archimède";79000;Niort;79191;;"05 49 24 94 88";;Deux-Sèvres;Poitiers;Nouvelle-Aquitaine;75;-0.4602965;46.3286564;03/03/2018;03/03/2018;"de 9h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/1475
0791103V;;"Unité de formation et de recherche";"Faculté de droit et sciences sociales - site de Niort";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Poitiers";;"11 rue Archimède";79000;Niort;79191;;"05 49 24 45 47";;Deux-Sèvres;Poitiers;Nouvelle-Aquitaine;75;-0.4602965;46.3286564;03/03/2018;03/03/2018;"de 9h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/1538
0511378W;;"Unité de formation et de recherche";"UFR de droit et science politique";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Reims Champagne-Ardenne";;"57 bis rue Pierre Taittinger";51096;Reims;51454;Cedex;"03 26 91 38 26";;Marne;Reims;Grand-Est;44;4.0047386;49.2368385;17/02/2018;17/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/1682
0932127G;;"Unité de formation et de recherche";"Institut d'études européennes";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Vincennes-Saint-Denis";;"2 rue de la Liberté";93200;Saint-Denis;93066;;"01 49 40 65 92";;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.36396;48.945249;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1754
0382951B;;"Unité de formation et de recherche";"UFR langage, lettres et arts du spectacle, information et communication";"UFR LLASIC";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Grenoble Alpes";"BP 25";"Domaine universitaire";38040;Grenoble;38185;Cedex;"04 76 82 41 93";;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.734799862;45.1678009;30/01/2018;30/01/2018;"de 9h à 16 (journée du lycéen-campus de Saint-Martin d'Hères)";www.onisep.fr/http/redirection/etablissement/identifiant/1840
9720832X;;"Unité de formation et de recherche";"Département scientifique interfacultaire";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université des Antilles";"BP 7209";"Campus de Schoelcher";97233;Schoelcher;97229;;"05 96 72 73 40";;Martinique;Martinique;Martinique;2;-61.1024569;14.6245877;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1880
